gamePk,date,home,away,status
747060,2024-03-28T19:05:00Z,Baltimore Orioles,Los Angeles Angels,Final
746737,2024-03-28T20:10:00Z,Cincinnati Reds,Washington Nationals,Final
745445,2024-03-28T20:10:00Z,San Diego Padres,San Francisco Giants,Final
746165,2024-03-28T20:10:00Z,Los Angeles Dodgers,St. Louis Cardinals,Final
745116,2024-03-28T20:10:00Z,Tampa Bay Rays,Toronto Blue Jays,Final
746335,2024-03-28T20:10:00Z,Kansas City Royals,Minnesota Twins,Final
746821,2024-03-28T20:10:00Z,Chicago White Sox,Detroit Tigers,Final
746089,2024-03-28T20:10:00Z,Miami Marlins,Pittsburgh Pirates,Final
746418,2024-03-28T20:10:00Z,Houston Astros,New York Yankees,Final
745039,2024-03-28T23:35:00Z,Texas Rangers,Chicago Cubs,Final
745687,2024-03-29T02:07:00Z,Oakland Athletics,Cleveland Guardians,Final
747224,2024-03-29T02:10:00Z,Arizona Diamondbacks,Colorado Rockies,Final
745283,2024-03-29T02:10:00Z,Seattle Mariners,Boston Red Sox,Final
745848,2024-03-28T17:10:00Z,New York Mets,Milwaukee Brewers,Final
745604,2024-03-28T19:05:00Z,Philadelphia Phillies,Atlanta Braves,Final
745848,2024-03-29T17:40:00Z,New York Mets,Milwaukee Brewers,Final
745604,2024-03-29T19:05:00Z,Philadelphia Phillies,Atlanta Braves,Final
745117,2024-03-29T22:50:00Z,Tampa Bay Rays,Toronto Blue Jays,Final
746091,2024-03-29T23:10:00Z,Miami Marlins,Pittsburgh Pirates,Final
746412,2024-03-30T00:10:00Z,Houston Astros,New York Yankees,Final
747223,2024-03-30T01:40:00Z,Arizona Diamondbacks,Colorado Rockies,Final
745682,2024-03-30T01:40:00Z,Oakland Athletics,Cleveland Guardians,Final
745276,2024-03-30T01:40:00Z,Seattle Mariners,Boston Red Sox,Final
745435,2024-03-30T01:40:00Z,San Diego Padres,San Francisco Giants,Final
746167,2024-03-30T02:10:00Z,Los Angeles Dodgers,St. Louis Cardinals,Final
745850,2024-03-30T17:40:00Z,New York Mets,Milwaukee Brewers,Final
746818,2024-03-30T18:10:00Z,Chicago White Sox,Detroit Tigers,Final
747063,2024-03-30T20:05:00Z,Baltimore Orioles,Los Angeles Angels,Final
745599,2024-03-30T20:05:00Z,Philadelphia Phillies,Atlanta Braves,Final
745684,2024-03-30T20:07:00Z,Oakland Athletics,Cleveland Guardians,Final
746736,2024-03-30T20:10:00Z,Cincinnati Reds,Washington Nationals,Final
745119,2024-03-30T20:10:00Z,Tampa Bay Rays,Toronto Blue Jays,Final
746333,2024-03-30T20:10:00Z,Kansas City Royals,Minnesota Twins,Final
746087,2024-03-30T20:10:00Z,Miami Marlins,Pittsburgh Pirates,Final
745037,2024-03-30T23:05:00Z,Texas Rangers,Chicago Cubs,Final
745436,2024-03-30T23:15:00Z,San Diego Padres,San Francisco Giants,Final
746410,2024-03-30T23:15:00Z,Houston Astros,New York Yankees,Final
747221,2024-03-31T00:10:00Z,Arizona Diamondbacks,Colorado Rockies,Final
746168,2024-03-31T01:10:00Z,Los Angeles Dodgers,St. Louis Cardinals,Final
745278,2024-03-31T01:40:00Z,Seattle Mariners,Boston Red Sox,Final
747062,2024-03-31T17:35:00Z,Baltimore Orioles,Los Angeles Angels,Final
745602,2024-03-31T17:35:00Z,Philadelphia Phillies,Atlanta Braves,Final
746739,2024-03-31T17:40:00Z,Cincinnati Reds,Washington Nationals,Final
745115,2024-03-31T17:40:00Z,Tampa Bay Rays,Toronto Blue Jays,Final
746090,2024-03-31T17:40:00Z,Miami Marlins,Pittsburgh Pirates,Final
745845,2024-03-31T17:40:00Z,New York Mets,Milwaukee Brewers,Final
