gamePk,date,home_team,away_team,status,home_score,away_score
779129,2025-03-01T18:05:00Z,Baltimore Orioles,Pittsburgh Pirates,Final,2.0,5.0
779079,2025-03-01T18:05:00Z,St. Louis Cardinals,Washington Nationals,Final,3.0,2.0
778970,2025-03-01T18:05:00Z,Tampa Bay Rays,New York Mets,Final,1.0,10.0
778774,2025-03-01T18:05:00Z,Boston Red Sox,Minnesota Twins,Final,8.0,4.0
779111,2025-03-01T18:05:00Z,Detroit Tigers,Philadelphia Phillies,Final,1.0,0.0
778704,2025-03-01T18:05:00Z,Atlanta Braves,Toronto Blue Jays,Final,1.0,1.0
779051,2025-03-01T18:05:00Z,New York Yankees,Houston Astros,Final,9.0,3.0
778756,2025-03-01T20:05:00Z,Chicago Cubs,Cleveland Guardians,Final,7.0,4.0
778831,2025-03-01T20:05:00Z,Cincinnati Reds,San Diego Padres,Final,7.0,3.0
778858,2025-03-01T20:05:00Z,Los Angeles Dodgers,San Francisco Giants,Final,6.0,5.0
778801,2025-03-01T20:10:00Z,Arizona Diamondbacks,Colorado Rockies,Final,8.0,4.0
779157,2025-03-01T20:10:00Z,Los Angeles Angels,Athletics,Final,5.0,0.0
779018,2025-03-01T20:10:00Z,Seattle Mariners,Chicago White Sox,Final,9.0,18.0
779099,2025-03-01T20:10:00Z,Milwaukee Brewers,Texas Rangers,Final,9.0,4.0
778730,2025-03-01T23:05:00Z,Washington Nationals,Miami Marlins,Final,7.0,0.0
778936,2025-03-02T01:05:00Z,Kansas City Royals,Chicago Cubs,Final,1.0,11.0
778732,2025-03-02T18:05:00Z,Houston Astros,Washington Nationals,Final,3.0,4.0
778769,2025-03-02T18:05:00Z,Boston Red Sox,New York Mets,Final,6.0,4.0
779036,2025-03-02T18:05:00Z,Pittsburgh Pirates,Detroit Tigers,Final,4.0,10.0
778881,2025-03-02T18:05:00Z,Minnesota Twins,Tampa Bay Rays,Final,5.0,5.0
778912,2025-03-02T18:05:00Z,Philadelphia Phillies,Baltimore Orioles,Final,5.0,4.0
778706,2025-03-02T18:05:00Z,Atlanta Braves,New York Yankees,Final,11.0,1.0
778957,2025-03-02T18:07:00Z,Toronto Blue Jays,Philadelphia Phillies,Final,5.0,4.0
779078,2025-03-02T18:10:00Z,Miami Marlins,St. Louis Cardinals,Final,5.0,3.0
