match_time,home_team,away_team,site,market,outcome,odds
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,FanDuel,h2h,Boston Red Sox,1.05
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,FanDuel,h2h,Seattle Mariners,9.7
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,FanDuel,spreads,Boston Red Sox,1.25
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,FanDuel,spreads,Seattle Mariners,3.7
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,DraftKings,h2h,Boston Red Sox,1.03
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,DraftKings,h2h,Seattle Mariners,10.7
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,DraftKings,spreads,Boston Red Sox,1.2
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,DraftKings,spreads,Seattle Mariners,4.37
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,BetMGM,h2h,Boston Red Sox,1.01
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,BetMGM,h2h,Seattle Mariners,26.0
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,BetMGM,spreads,Boston Red Sox,1.06
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,BetMGM,spreads,Seattle Mariners,8.25
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,Bovada,h2h,Boston Red Sox,1.1
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,Bovada,h2h,Seattle Mariners,6.5
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,Bovada,spreads,Boston Red Sox,1.43
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,Bovada,spreads,Seattle Mariners,2.75
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,BetRivers,h2h,Boston Red Sox,1.02
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,BetRivers,h2h,Seattle Mariners,9.5
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,BetRivers,spreads,Boston Red Sox,1.18
2025-06-18 20:11:00+00:00,Seattle Mariners,Boston Red Sox,BetRivers,spreads,Seattle Mariners,3.75
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,BetOnline.ag,h2h,Miami Marlins,2.59
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,BetOnline.ag,h2h,Philadelphia Phillies,1.57
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,BetOnline.ag,spreads,Miami Marlins,1.9
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,BetOnline.ag,spreads,Philadelphia Phillies,1.92
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,LowVig.ag,h2h,Miami Marlins,2.59
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,LowVig.ag,h2h,Philadelphia Phillies,1.57
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,LowVig.ag,spreads,Miami Marlins,1.93
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,LowVig.ag,spreads,Philadelphia Phillies,1.94
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,DraftKings,h2h,Miami Marlins,2.48
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,DraftKings,h2h,Philadelphia Phillies,1.55
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,DraftKings,spreads,Miami Marlins,1.87
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,DraftKings,spreads,Philadelphia Phillies,1.94
2025-06-18 22:40:00+00:00,Miami Marlins,Philadelphia Phillies,FanDuel,h2h,Miami Marlins,2.48
